result_id,result_dir,claim_id,claim,status,primary_metric,primary_value,threshold,evidence,interpretation
llmrouterbench_broad10,results/llmrouterbench_broad10,benchmark_diagnosis,Benchmark routing results expose compressibility or split-design artifacts.,not_supported,min_split_rank_correlation,0.7488186396138605,diagnostic if rank correlation < 0.50 or dataset-label recovered gap >= 0.25,"table_split_rank_correlation.csv: scenario=leave_dataset_out:aime, rank_correlation=0.7488; table_recovered_gap.csv, method=dataset_label_lookup, K=18.0000, recovered_gap_vs_oracle=0.1990",Current split/compressibility evidence is not strong enough for benchmark diagnosis.
llmrouterbench_broad10,results/llmrouterbench_broad10,adaptive_refinement,Adaptive refinement improves cost-quality by refining uncertain queries.,not_supported,top10_regret_mass_fraction,0.2047817047817048,defer unless residual-risk gate is strong; current heuristic expects top-10% regret mass >= 0.30,"table_residual_risk.csv, regret_mass_fraction=0.2048",Do not implement or claim adaptive refinement from the current residual-risk gate.
llmrouterbench_broad20,results/llmrouterbench_broad20,low_rate_oracle_codes,Useful low-rate utility route codes exist.,diagnostic_supported,best_low_rate_oracle_recovered_gap_vs_oracle,0.9681208053691276,diagnostic if >= 0.80 by K<=16,"table_rate_distortion.csv, method=regret_routecode_oracle_labels, K=16.0000, recovered_gap_vs_oracle=0.9681",Low-rate oracle code labels preserve most oracle routing gain.
llmrouterbench_broad20,results/llmrouterbench_broad20,small_inferred_labels,Small inferred route labels recover most routing performance.,not_supported,best_inferred_recovered_gap_vs_oracle,0.0906040268456372,supported only if recovered gap >= 0.85 and lower bootstrap CI >= 0.80,"table_predictability_constrained.csv, method=d2_embedding_centroid, K=16.0000, alpha=1.0000, recovered_gap_vs_oracle=0.0906",Do not claim that small inferred labels recover most routing performance.
llmrouterbench_broad20,results/llmrouterbench_broad20,model_pool_transfer,Route labels transfer across model pools better than same-budget direct retraining.,diagnostic_alive,mean_matched_transfer_minus_direct_recovered_gap,0.1471763893788974,diagnostic if > 0; paper-level support requires broader split/model coverage,"transfer_scenario=complementary_to_remaining_top_s12_t4: routecode=0.1825, direct=0.0300, diff=0.1525; transfer_scenario=complementary_to_remaining_top_s12_t8: routecode=0.1571, direct=0.0184, diff=0.1388; transfer_scenario=complementary_to_remaining_top_s4_t4: routecode=0.1693, direct=0.0412, diff=0.1281; transfer_scenario=complementary_to_remaining_top_s4_t8: routecode=0.1506, direct=0.0163, diff=0.1343; transfer_scenario=complementary_to_remaining_top_s8_t4: routecode=0.2125, direct=0.0277, diff=0.1848; transfer_scenario=complementary_to_remaining_top_s8_t8: routecode=0.1853, direct=0.0151, diff=0.1701",Transfer remains alive as a bounded diagnostic.
llmrouterbench_broad20,results/llmrouterbench_broad20,new_model_calibration,New models can be integrated with fewer calibration examples than direct retraining.,diagnostic_alive,mean_matched_routecode_minus_direct_recovered_gap,0.7402474832214766,diagnostic if > 0; paper-level support requires stronger cost accounting and broader repeats,"new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=1: routecode=-0.4262, direct=-0.7802, diff=0.3540; new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=16: routecode=0.1107, direct=-0.7802, diff=0.8909; new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=2: routecode=-0.3322, direct=-0.7802, diff=0.4480; new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=32: routecode=-0.0185, direct=-0.7802, diff=0.7617; new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=4: routecode=-0.2466, direct=-0.7802, diff=0.5336; new_model_id=DeepHermes-3-Llama-3-8B-Preview, examples_per_label=64: routecode=0.1074, direct=-0.7819, diff=0.8893",Calibration remains alive as a bounded diagnostic.
llmrouterbench_broad20,results/llmrouterbench_broad20,benchmark_diagnosis,Benchmark routing results expose compressibility or split-design artifacts.,diagnostic_supported,min_split_rank_correlation,0.1197626261913258,diagnostic if rank correlation < 0.50 or dataset-label recovered gap >= 0.25,"table_split_rank_correlation.csv: scenario=leave_dataset_out:mbpp, rank_correlation=0.1198; table_recovered_gap.csv, method=dataset_label_lookup, K=18.0000, recovered_gap_vs_oracle=0.0638",Benchmark diagnosis is supported as a diagnostic thread.
llmrouterbench_broad20,results/llmrouterbench_broad20,adaptive_refinement,Adaptive refinement improves cost-quality by refining uncertain queries.,not_supported,top10_regret_mass_fraction,0.152099886492622,defer unless residual-risk gate is strong; current heuristic expects top-10% regret mass >= 0.30,"table_residual_risk.csv, regret_mass_fraction=0.1521",Do not implement or claim adaptive refinement from the current residual-risk gate.
llmrouterbench_scale20,results/llmrouterbench_scale20,low_rate_oracle_codes,Useful low-rate utility route codes exist.,diagnostic_supported,best_low_rate_oracle_recovered_gap_vs_oracle,0.9798657718120808,diagnostic if >= 0.80 by K<=16,"table_rate_distortion.csv, method=regret_routecode_oracle_labels, K=16.0000, recovered_gap_vs_oracle=0.9799",Low-rate oracle code labels preserve most oracle routing gain.
llmrouterbench_scale20,results/llmrouterbench_scale20,small_inferred_labels,Small inferred route labels recover most routing performance.,not_supported,best_inferred_recovered_gap_vs_oracle,0.1409395973154363,supported only if recovered gap >= 0.85 and lower bootstrap CI >= 0.80,"table_recovered_gap.csv, method=predicted_topic_lookup, K=6.0000, recovered_gap_vs_oracle=0.1409",Do not claim that small inferred labels recover most routing performance.
llmrouterbench_scale20,results/llmrouterbench_scale20,model_pool_transfer,Route labels transfer across model pools better than same-budget direct retraining.,diagnostic_alive,mean_matched_transfer_minus_direct_recovered_gap,0.1615828651902749,diagnostic if > 0; paper-level support requires broader split/model coverage,"transfer_scenario=complementary_to_remaining_top: routecode=0.3588, direct=0.1059, diff=0.2529; transfer_scenario=dominated_to_remaining_top: routecode=0.2714, direct=0.0286, diff=0.2429; transfer_scenario=top_to_next: routecode=0.0442, direct=0.0552, diff=-0.0110",Transfer remains alive as a bounded diagnostic.
llmrouterbench_scale20,results/llmrouterbench_scale20,new_model_calibration,New models can be integrated with fewer calibration examples than direct retraining.,diagnostic_alive,mean_matched_routecode_minus_direct_recovered_gap,0.509587727708533,diagnostic if > 0; paper-level support requires stronger cost accounting and broader repeats,"new_model_id=MiMo-7B-RL-0530, examples_per_label=1: routecode=-0.4295, direct=-0.4094, diff=-0.0201; new_model_id=MiMo-7B-RL-0530, examples_per_label=16: routecode=0.0671, direct=-0.4094, diff=0.4765; new_model_id=MiMo-7B-RL-0530, examples_per_label=2: routecode=0.0201, direct=-0.4094, diff=0.4295; new_model_id=MiMo-7B-RL-0530, examples_per_label=32: routecode=0.0671, direct=-0.3960, diff=0.4631; new_model_id=MiMo-7B-RL-0530, examples_per_label=4: routecode=-0.0201, direct=-0.4094, diff=0.3893; new_model_id=MiMo-7B-RL-0530, examples_per_label=64: routecode=0.0671, direct=-0.3960, diff=0.4631",Calibration remains alive as a bounded diagnostic.
llmrouterbench_scale20,results/llmrouterbench_scale20,benchmark_diagnosis,Benchmark routing results expose compressibility or split-design artifacts.,not_supported,min_split_rank_correlation,0.5367450401216933,diagnostic if rank correlation < 0.50 or dataset-label recovered gap >= 0.25,"table_split_rank_correlation.csv: scenario=leave_dataset_out:aime, rank_correlation=0.5367; table_recovered_gap.csv, method=dataset_label_lookup, K=6.0000, recovered_gap_vs_oracle=0.2013",Current split/compressibility evidence is not strong enough for benchmark diagnosis.
llmrouterbench_scale20,results/llmrouterbench_scale20,adaptive_refinement,Adaptive refinement improves cost-quality by refining uncertain queries.,not_supported,top10_regret_mass_fraction,0.1910112359550561,defer unless residual-risk gate is strong; current heuristic expects top-10% regret mass >= 0.30,"table_residual_risk.csv, regret_mass_fraction=0.1910",Do not implement or claim adaptive refinement from the current residual-risk gate.
llmrouterbench_32model,results/llmrouterbench_32model,low_rate_oracle_codes,Useful low-rate utility route codes exist.,diagnostic_supported,best_low_rate_oracle_recovered_gap_vs_oracle,0.9534883720930236,diagnostic if >= 0.80 by K<=16,"table_rate_distortion.csv, method=regret_routecode_oracle_labels, K=16.0000, recovered_gap_vs_oracle=0.9535",Low-rate oracle code labels preserve most oracle routing gain.
llmrouterbench_32model,results/llmrouterbench_32model,small_inferred_labels,Small inferred route labels recover most routing performance.,not_supported,best_inferred_recovered_gap_vs_oracle,0.0232558139534881,supported only if recovered gap >= 0.85 and lower bootstrap CI >= 0.80,"table_recovered_gap.csv, method=predicted_topic_lookup, K=5.0000, recovered_gap_vs_oracle=0.0233",Do not claim that small inferred labels recover most routing performance.
llmrouterbench_32model,results/llmrouterbench_32model,model_pool_transfer,Route labels transfer across model pools better than same-budget direct retraining.,not_supported,mean_matched_transfer_minus_direct_recovered_gap,-0.0536796536796537,diagnostic if > 0; paper-level support requires broader split/model coverage,"transfer_scenario=complementary_to_remaining_top: routecode=-0.0182, direct=0.0000, diff=-0.0182; transfer_scenario=dominated_to_remaining_top: routecode=0.0462, direct=0.0462, diff=0.0000; transfer_scenario=top_to_next: routecode=-0.1429, direct=0.0000, diff=-0.1429",Current transfer rows do not beat direct retraining.
llmrouterbench_32model,results/llmrouterbench_32model,new_model_calibration,New models can be integrated with fewer calibration examples than direct retraining.,diagnostic_alive,mean_matched_routecode_minus_direct_recovered_gap,0.8139534883720939,diagnostic if > 0; paper-level support requires stronger cost accounting and broader repeats,"new_model_id=qwen3-235b-a22b-2507, examples_per_label=1: routecode=-1.0698, direct=-1.0698, diff=0.0000; new_model_id=qwen3-235b-a22b-2507, examples_per_label=16: routecode=-0.3256, direct=-1.0698, diff=0.7442; new_model_id=qwen3-235b-a22b-2507, examples_per_label=2: routecode=-0.9070, direct=-1.0698, diff=0.1628; new_model_id=qwen3-235b-a22b-2507, examples_per_label=32: routecode=-0.2791, direct=-1.0698, diff=0.7907; new_model_id=qwen3-235b-a22b-2507, examples_per_label=4: routecode=-0.7907, direct=-1.0698, diff=0.2791; new_model_id=qwen3-235b-a22b-2507, examples_per_label=64: routecode=-0.2326, direct=-1.0698, diff=0.8372",Calibration remains alive as a bounded diagnostic.
llmrouterbench_32model,results/llmrouterbench_32model,benchmark_diagnosis,Benchmark routing results expose compressibility or split-design artifacts.,not_supported,min_split_rank_correlation,0.790433332862751,diagnostic if rank correlation < 0.50 or dataset-label recovered gap >= 0.25,"table_split_rank_correlation.csv: scenario=cluster_held_out:0, rank_correlation=0.7904; table_recovered_gap.csv, method=dataset_label_lookup, K=5.0000, recovered_gap_vs_oracle=-0.0233",Current split/compressibility evidence is not strong enough for benchmark diagnosis.
llmrouterbench_32model,results/llmrouterbench_32model,adaptive_refinement,Adaptive refinement improves cost-quality by refining uncertain queries.,not_supported,top10_regret_mass_fraction,0.2,defer unless residual-risk gate is strong; current heuristic expects top-10% regret mass >= 0.30,"table_residual_risk.csv, regret_mass_fraction=0.2000",Do not implement or claim adaptive refinement from the current residual-risk gate.
