candidate,k,alpha,selection_basis,training_datasets,validation_datasets,n_train_queries,n_validation_queries,n_test_queries,n_policy_slice_queries,val_relative_gap_to_oracle,test_relative_gap_to_oracle,policy_slice_relative_gap_to_oracle,policy_slice_mean_utility,policy_slice_oracle_mean_utility,policy_slice_regret_count,val_selection_rank,selected_by_val,policy_slice_within_threshold,val_selected_policy_slice_within_threshold,selected_by_target_rate,target_rate_selection_rank,target_rate_policy_slice_within_threshold
routecode_embedding_predicted:k8:alpha0.01,8,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.01769911504424774,0.026315789473684233,0.9024390243902439,0.926829268292683,1,19,False,True,False,False,,False
routecode_embedding_predicted:k8:alpha0.1,8,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.026548672566371726,0.026315789473684233,0.9024390243902439,0.926829268292683,1,20,False,True,False,False,,False
routecode_embedding_predicted:k16:alpha0.05,16,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.026548672566371726,0.026315789473684233,0.9024390243902439,0.926829268292683,1,21,False,True,False,False,,False
routecode_embedding_predicted:k64:alpha0.1,64,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.035398230088495596,0.026315789473684233,0.9024390243902439,0.926829268292683,1,22,False,True,False,False,,False
routecode_embedding_predicted:k64:alpha0.3,64,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,23,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0.05,128,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.07079646017699119,0.026315789473684233,0.9024390243902439,0.926829268292683,1,24,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0.1,128,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,25,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0.3,128,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,26,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha3,128,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,27,False,True,False,False,,False
routecode_embedding_predicted:k1:alpha0,1,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,28,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha0.01,1,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,29,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha0.05,1,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,30,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha0.1,1,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,31,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha0.3,1,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,32,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha1,1,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,33,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha3,1,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,34,False,False,False,False,,False
routecode_embedding_predicted:k1:alpha10,1,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,35,False,False,False,False,,False
routecode_embedding_predicted:k16:alpha0.1,16,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,36,False,False,False,False,,False
routecode_embedding_predicted:k32:alpha0.1,32,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.04424778761061947,0.05263157894736847,0.8780487804878049,0.926829268292683,2,37,False,False,False,True,1.0,False
routecode_embedding_predicted:k32:alpha1,32,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.06194690265486721,0.05263157894736847,0.8780487804878049,0.926829268292683,2,38,False,False,False,False,2.0,False
routecode_embedding_predicted:k32:alpha10,32,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.053097345132743334,0.05263157894736847,0.8780487804878049,0.926829268292683,2,39,False,False,False,False,3.0,False
routecode_embedding_predicted:k8:alpha1,8,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.06194690265486721,0.0789473684210527,0.8536585365853658,0.926829268292683,3,40,False,False,False,False,,False
routecode_embedding_predicted:k2:alpha1,2,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.07079646017699119,0.10526315789473693,0.8292682926829268,0.926829268292683,4,41,False,False,False,False,,False
routecode_embedding_predicted:k2:alpha3,2,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.06194690265486721,0.10526315789473693,0.8292682926829268,0.926829268292683,4,42,False,False,False,False,,False
routecode_embedding_predicted:k2:alpha10,2,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.06194690265486721,0.10526315789473693,0.8292682926829268,0.926829268292683,4,43,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha1,4,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.06250000000000006,0.07964601769911506,0.15789473684210528,0.7804878048780488,0.926829268292683,6,44,False,False,False,False,,False
routecode_embedding_predicted:k128:alpha1,128,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.026548672566371726,0.0,0.926829268292683,0.926829268292683,0,45,False,True,False,False,,False
routecode_embedding_predicted:k16:alpha1,16,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,46,False,True,False,False,,False
routecode_embedding_predicted:k16:alpha10,16,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.04424778761061947,0.026315789473684233,0.9024390243902439,0.926829268292683,1,47,False,True,False,False,,False
routecode_embedding_predicted:k32:alpha0,32,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,48,False,True,False,False,4.0,False
routecode_embedding_predicted:k64:alpha0,64,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,49,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0,128,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,50,False,True,False,False,,False
routecode_embedding_predicted:k128:alpha0.01,128,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,51,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha0,256,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,52,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha0.01,256,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,53,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha0.05,256,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,54,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha0.1,256,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,55,False,True,False,False,,False
routecode_embedding_predicted:k256:alpha0.3,256,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.053097345132743334,0.026315789473684233,0.9024390243902439,0.926829268292683,1,56,False,True,False,False,,False
routecode_embedding_predicted:k4:alpha0,4,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.035398230088495596,0.05263157894736847,0.8780487804878049,0.926829268292683,2,57,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha0.01,4,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.035398230088495596,0.05263157894736847,0.8780487804878049,0.926829268292683,2,58,False,False,False,False,,False
routecode_embedding_predicted:k4:alpha0.05,4,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.035398230088495596,0.05263157894736847,0.8780487804878049,0.926829268292683,2,59,False,False,False,False,,False
routecode_embedding_predicted:k16:alpha0.3,16,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.035398230088495596,0.05263157894736847,0.8780487804878049,0.926829268292683,2,60,False,False,False,False,,False
routecode_embedding_predicted:k32:alpha0.01,32,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.06194690265486721,0.05263157894736847,0.8780487804878049,0.926829268292683,2,61,False,False,False,False,5.0,False
routecode_embedding_predicted:k32:alpha3,32,3.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.06194690265486721,0.05263157894736847,0.8780487804878049,0.926829268292683,2,62,False,False,False,False,6.0,False
routecode_embedding_predicted:k64:alpha10,64,10.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.07291666666666667,0.07079646017699119,0.0789473684210527,0.8536585365853658,0.926829268292683,3,63,False,False,False,False,,False
routecode_embedding_predicted:k64:alpha1,64,1.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.08333333333333341,0.04424778761061947,0.0,0.926829268292683,0.926829268292683,0,64,False,True,False,False,,False
routecode_embedding_predicted:k32:alpha0.3,32,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.08333333333333341,0.035398230088495596,0.026315789473684233,0.9024390243902439,0.926829268292683,1,65,False,True,False,False,7.0,False
routecode_embedding_predicted:k64:alpha0.01,64,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.08333333333333341,0.06194690265486721,0.05263157894736847,0.8780487804878049,0.926829268292683,2,66,False,False,False,False,,False
routecode_embedding_predicted:k8:alpha0.3,8,0.3,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.09375000000000003,0.06194690265486721,0.0789473684210527,0.8536585365853658,0.926829268292683,3,67,False,False,False,False,,False
routecode_embedding_predicted:k32:alpha0.05,32,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.09375000000000003,0.07964601769911506,0.0789473684210527,0.8536585365853658,0.926829268292683,3,68,False,False,False,False,8.0,False
routecode_embedding_predicted:k4:alpha0.1,4,0.1,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.09375000000000003,0.08849557522123894,0.15789473684210528,0.7804878048780488,0.926829268292683,6,69,False,False,False,False,,False
routecode_embedding_predicted:k64:alpha0.05,64,0.05,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.10416666666666664,0.07079646017699119,0.05263157894736847,0.8780487804878049,0.926829268292683,2,70,False,False,False,False,,False
routecode_embedding_predicted:k16:alpha0,16,0.0,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.10416666666666664,0.07964601769911506,0.0789473684210527,0.8536585365853658,0.926829268292683,3,71,False,False,False,False,,False
routecode_embedding_predicted:k16:alpha0.01,16,0.01,exact_math_validation_grid,"aime,math500","aime,math500",343,99,118,41,0.10416666666666664,0.07964601769911506,0.0789473684210527,0.8536585365853658,0.926829268292683,3,72,False,False,False,False,,False
