method,method_role,lambda_cost,frontier_price_multiplier,n_queries,mean_quality,mean_utility,oracle_mean_utility,utility_gap_to_oracle,oracle_utility_ratio,remote_cost_per_1k_queries,mean_normalized_cost,frontier_call_rate,selected_actions_json
cost_aware_oracle,oracle,0.0,2.0,172,0.872093023255814,0.872093023255814,0.872093023255814,0.0,1.0,2.0713139534883687,0.2872260490435092,0.1802325581395348,"{""deterministic_math_tool"": 8, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 20, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.0,2.0,172,0.7790697674418605,0.7790697674418605,0.872093023255814,0.0930232558139534,0.8933333333333334,9.489843023255808,1.3159425267340006,0.9186046511627908,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""gpt-5.5"": 63}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.0,2.0,172,0.6976744186046512,0.6976744186046512,0.872093023255814,0.1744186046511627,0.8,9.26933720930232,1.285365310939978,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.0,2.0,172,0.5930232558139535,0.5930232558139535,0.872093023255814,0.2790697674418604,0.68,15.079709302325584,2.091081034015711,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.0,2.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.0,2.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.0,2.0,172,0.4651162790697674,0.4651162790697674,0.872093023255814,0.4069767441860465,0.5333333333333333,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.0,2.0,172,0.4011627906976744,0.4011627906976744,0.872093023255814,0.4709302325581395,0.46,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.0,2.0,170,0.3529411764705882,0.3529411764705882,0.872093023255814,0.5191518467852256,0.4047058823529412,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.0,2.0,172,0.3430232558139535,0.3430232558139535,0.872093023255814,0.5290697674418605,0.3933333333333333,1.1015232558139536,0.1527466042335823,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.0,2.0,172,0.2616279069767442,0.2616279069767442,0.872093023255814,0.6104651162790697,0.3,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.0,2.0,172,0.0930232558139534,0.0930232558139534,0.872093023255814,0.7790697674418605,0.1066666666666666,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.0,5.0,172,0.872093023255814,0.872093023255814,0.872093023255814,0.0,1.0,5.178284883720921,0.7180651226087729,0.1802325581395348,"{""deterministic_math_tool"": 8, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 20, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.0,5.0,172,0.7790697674418605,0.7790697674418605,0.872093023255814,0.0930232558139534,0.8933333333333334,23.724607558139525,3.289856316835001,0.9186046511627908,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""gpt-5.5"": 63}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.0,5.0,172,0.6976744186046512,0.6976744186046512,0.872093023255814,0.1744186046511627,0.8,23.1733430232558,3.2134132773499453,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.0,5.0,172,0.5930232558139535,0.5930232558139535,0.872093023255814,0.2790697674418604,0.68,37.69927325581395,5.227702585039278,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.0,5.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.0,5.0,172,0.4767441860465116,0.4767441860465116,0.872093023255814,0.3953488372093023,0.5466666666666666,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.0,5.0,172,0.4651162790697674,0.4651162790697674,0.872093023255814,0.4069767441860465,0.5333333333333333,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.0,5.0,172,0.4011627906976744,0.4011627906976744,0.872093023255814,0.4709302325581395,0.46,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.0,5.0,170,0.3529411764705882,0.3529411764705882,0.872093023255814,0.5191518467852256,0.4047058823529412,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.0,5.0,172,0.3430232558139535,0.3430232558139535,0.872093023255814,0.5290697674418605,0.3933333333333333,2.753808139534884,0.3818665105839556,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.0,5.0,172,0.2616279069767442,0.2616279069767442,0.872093023255814,0.6104651162790697,0.3,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.0,5.0,172,0.0930232558139534,0.0930232558139534,0.872093023255814,0.7790697674418605,0.1066666666666666,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.1,0.5,172,0.872093023255814,0.8684019009437259,0.8684019009437259,0.0,1.0,0.2661831395348829,0.0369112231208801,0.1395348837209302,"{""deterministic_math_tool"": 15, ""gemini-3.5-flash"": 9, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.1,0.5,172,0.7906976744186046,0.772354469015047,0.8684019009437259,0.0960474319286789,0.8893974877020646,1.3228095930232544,0.1834320540355763,0.6162790697674418,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""gpt-5.5"": 11, ""qwen3-32b-awq-local"": 52}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.1,0.5,172,0.6976744186046512,0.6655402858311518,0.8684019009437259,0.2028616151125741,0.7663966247746388,2.31733430232558,0.3213413277349944,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.1,0.5,172,0.5930232558139535,0.5407462299635607,0.8684019009437259,0.3276556709801652,0.6226912094226312,3.769927325581396,0.5227702585039278,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.1,0.5,172,0.4767441860465116,0.4767441860465116,0.8684019009437259,0.3916577148972143,0.5489902607633808,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.1,0.5,172,0.4767441860465116,0.4767441860465116,0.8684019009437259,0.3916577148972143,0.5489902607633808,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.1,0.5,172,0.4651162790697674,0.4651162790697674,0.8684019009437259,0.4032856218739585,0.5356002544032983,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.1,0.5,172,0.4011627906976744,0.4011627906976744,0.8684019009437259,0.4672391102460515,0.4619552194228447,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.1,0.5,170,0.3529411764705882,0.3529411764705882,0.8684019009437259,0.5154607244731377,0.4064260754001499,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.1,0.5,172,0.3430232558139535,0.339204590708114,0.8684019009437259,0.529197310235612,0.3906078399177699,0.2753808139534884,0.0381866510583955,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.1,0.5,172,0.2616279069767442,0.2616279069767442,0.8684019009437259,0.6067739939669817,0.3012751431018553,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.1,0.5,172,0.0930232558139534,0.0930232558139534,0.8684019009437259,0.7753786451297724,0.1071200508806596,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.1,1.0,172,0.872093023255814,0.8647107786316379,0.8647107786316379,0.0,1.0,0.5323662790697657,0.0738224462417602,0.1395348837209302,"{""deterministic_math_tool"": 15, ""gemini-3.5-flash"": 9, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.1,1.0,172,0.7906976744186046,0.7568765423029746,0.8647107786316379,0.1078342363286632,0.8752944464283126,2.4389912790697643,0.3382113211563015,0.5523255813953488,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""qwen3-14b-awq-local"": 11, ""qwen3-32b-awq-local"": 52}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.1,1.0,172,0.6976744186046512,0.6334061530576522,0.8647107786316379,0.2313046255739856,0.7325063694244521,4.63466860465116,0.6426826554699889,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_gpt-5.5,all_gpt,0.1,1.0,172,0.5930232558139535,0.4884692041131679,0.8647107786316379,0.37624157451847,0.5648931598680269,7.539854651162791,1.0455405170078556,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-local,local_model,0.1,1.0,172,0.4767441860465116,0.4767441860465116,0.8647107786316379,0.3879665925851263,0.5513336919437222,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.1,1.0,172,0.4767441860465116,0.4767441860465116,0.8647107786316379,0.3879665925851263,0.5513336919437222,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.1,1.0,172,0.4651162790697674,0.4651162790697674,0.8647107786316379,0.3995944995618705,0.5378865287255826,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.1,1.0,172,0.4011627906976744,0.4011627906976744,0.8647107786316379,0.4635479879339635,0.463927131025815,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.1,1.0,170,0.3529411764705882,0.3529411764705882,0.8647107786316379,0.5117696021610496,0.4081609541505892,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.1,1.0,172,0.3430232558139535,0.3353859256022743,0.8647107786316379,0.5293248530293635,0.3878590783070913,0.5507616279069768,0.0763733021167911,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.1,1.0,172,0.2616279069767442,0.2616279069767442,0.8647107786316379,0.6030828716548937,0.3025611724081402,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.1,1.0,172,0.0930232558139534,0.0930232558139534,0.8647107786316379,0.7716875228176845,0.1075773057451165,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.1,2.0,172,0.872093023255814,0.8573285340074618,0.8573285340074618,0.0,1.0,1.0647325581395315,0.1476448924835205,0.1395348837209302,"{""deterministic_math_tool"": 15, ""gemini-3.5-flash"": 9, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.1,2.0,172,0.7906976744186046,0.7230554101873443,0.8573285340074618,0.1342731238201174,0.8433819492832269,4.877982558139529,0.6764226423126031,0.5523255813953488,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""qwen3-14b-awq-local"": 11, ""qwen3-32b-awq-local"": 52}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.1,2.0,172,0.6976744186046512,0.5691378875106534,0.8573285340074618,0.2881906464968083,0.6638503968254718,9.26933720930232,1.285365310939978,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_qwen3-32b-awq-local,local_model,0.1,2.0,172,0.4767441860465116,0.4767441860465116,0.8573285340074618,0.3805843479609501,0.556081090428704,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.1,2.0,172,0.4767441860465116,0.4767441860465116,0.8573285340074618,0.3805843479609501,0.556081090428704,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.1,2.0,172,0.4651162790697674,0.4651162790697674,0.8573285340074618,0.3922122549376943,0.5425181370036137,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.1,2.0,172,0.4011627906976744,0.4011627906976744,0.8573285340074618,0.4561657433097874,0.4679218931656168,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_gpt-5.5,all_gpt,0.1,2.0,172,0.5930232558139535,0.3839151524123824,0.8573285340074618,0.4734133815950794,0.4478040064965818,15.079709302325584,2.091081034015711,1.0,"{""gpt-5.5"": 172}"
all_qwen3-4b-local,local_model,0.1,2.0,170,0.3529411764705882,0.3529411764705882,0.8573285340074618,0.5043873575368736,0.4116755274909774,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.1,2.0,172,0.3430232558139535,0.3277485953905952,0.8573285340074618,0.5295799386168665,0.3822905483602423,1.1015232558139536,0.1527466042335823,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.1,2.0,172,0.2616279069767442,0.2616279069767442,0.8573285340074618,0.5957006270307176,0.3051664520645327,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.1,2.0,172,0.0930232558139534,0.0930232558139534,0.8573285340074618,0.7643052781935082,0.1085036274007227,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
cost_aware_oracle,oracle,0.1,5.0,172,0.872093023255814,0.8351818001349339,0.8351818001349339,0.0,1.0,2.661831395348828,0.3691122312088012,0.1395348837209302,"{""deterministic_math_tool"": 15, ""gemini-3.5-flash"": 9, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.1,5.0,172,0.75,0.666985725204133,0.8351818001349339,0.1681960749308009,0.7986114222033732,5.986526162790689,0.8301427479586689,0.5523255813953488,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash"": 55, ""gemini-3.5-flash-strong-solve"": 40, ""qwen3-14b-awq-local"": 11, ""qwen3-32b-awq-local"": 52}"
all_qwen3-32b-awq-local,local_model,0.1,5.0,172,0.4767441860465116,0.4767441860465116,0.8351818001349339,0.3584376140884223,0.5708268379046187,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.1,5.0,172,0.4767441860465116,0.4767441860465116,0.8351818001349339,0.3584376140884223,0.5708268379046187,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.1,5.0,172,0.4651162790697674,0.4651162790697674,0.8351818001349339,0.3700655210651665,0.5569042321020671,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.1,5.0,172,0.4011627906976744,0.4011627906976744,0.8351818001349339,0.4340190094372595,0.4803299001880328,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.1,5.0,172,0.6976744186046512,0.3763330908696566,0.8351818001349339,0.4588487092652772,0.4506002056185317,23.1733430232558,3.2134132773499453,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_qwen3-4b-local,local_model,0.1,5.0,170,0.3529411764705882,0.3529411764705882,0.8351818001349339,0.4822406236643456,0.4225920349480391,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.1,5.0,172,0.3430232558139535,0.3048366047555579,0.8351818001349339,0.5303451953793761,0.3649943098691899,2.753808139534884,0.3818665105839556,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.1,5.0,172,0.2616279069767442,0.2616279069767442,0.8351818001349339,0.5735538931581897,0.3132586305574127,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.1,5.0,172,0.0930232558139534,0.0930232558139534,0.8351818001349339,0.7421585443209804,0.1113808464204134,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
all_gpt-5.5,all_gpt,0.1,5.0,172,0.5930232558139535,0.0702529973100256,0.8351818001349339,0.7649288028249083,0.0841170117675881,37.69927325581395,5.227702585039278,1.0,"{""gpt-5.5"": 172}"
cost_aware_oracle,oracle,0.35,0.5,172,0.872093023255814,0.859174095163506,0.859174095163506,0.0,1.0,0.2661831395348829,0.0369112231208801,0.1395348837209302,"{""deterministic_math_tool"": 15, ""gemini-3.5-flash"": 9, ""gemini-3.5-flash-strong-solve"": 11, ""gpt-5.5"": 4, ""qwen3-14b-awq-local"": 33, ""qwen3-32b-awq-local"": 6, ""qwen3-32b-awq-selfconsistency-n3-local"": 1, ""qwen3-4b-local"": 82, ""qwen3-8b-local"": 11}"
frozen_routecode_state_action_table,frozen_state_policy,0.35,0.5,172,0.7906976744186046,0.7315106932162518,0.859174095163506,0.1276634019472541,0.8514114861401181,1.2194956395348822,0.1691056605781507,0.5523255813953488,"{""deterministic_math_tool"": 14, ""gemini-3.5-flash-strong-solve"": 95, ""qwen3-14b-awq-local"": 11, ""qwen3-32b-awq-local"": 52}"
all_gemini-3.5-flash-strong-solve,all_gemini,0.35,0.5,172,0.6976744186046512,0.585204953897403,0.859174095163506,0.2739691412661029,0.6811249980552952,2.31733430232558,0.3213413277349944,1.0,"{""gemini-3.5-flash-strong-solve"": 172}"
all_qwen3-32b-awq-local,local_model,0.35,0.5,172,0.4767441860465116,0.4767441860465116,0.859174095163506,0.3824299091169943,0.5548865925197435,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
best_local_single_model,local_reference,0.35,0.5,172,0.4767441860465116,0.4767441860465116,0.859174095163506,0.3824299091169943,0.5548865925197435,0.0,0.0,0.0,"{""qwen3-32b-awq-local"": 172}"
all_qwen3-14b-awq-local,local_model,0.35,0.5,172,0.4651162790697674,0.4651162790697674,0.859174095163506,0.3940578160937385,0.5413527731899936,0.0,0.0,0.0,"{""qwen3-14b-awq-local"": 172}"
all_gpt-5.5,all_gpt,0.35,0.5,172,0.5930232558139535,0.4100536653375787,0.859174095163506,0.4491204298259272,0.4772649311075226,3.769927325581396,0.5227702585039278,1.0,"{""gpt-5.5"": 172}"
all_qwen3-32b-awq-selfconsistency-n3-local,local_model,0.35,0.5,172,0.4011627906976744,0.4011627906976744,0.859174095163506,0.4580113044658315,0.4669167668763695,0.0,0.0,0.0,"{""qwen3-32b-awq-selfconsistency-n3-local"": 172}"
all_qwen3-4b-local,local_model,0.35,0.5,170,0.3529411764705882,0.3529411764705882,0.859174095163506,0.5062329186929178,0.4107912220088775,0.0,0.0,0.0,"{""qwen3-4b-local"": 170}"
all_gemini-3.5-flash,all_gemini,0.35,0.5,172,0.3430232558139535,0.329657927943515,0.859174095163506,0.5295161672199908,0.3836916520170212,0.2753808139534884,0.0381866510583955,1.0,"{""gemini-3.5-flash"": 172}"
all_qwen3-8b-local,local_model,0.35,0.5,172,0.2616279069767442,0.2616279069767442,0.859174095163506,0.5975461881867618,0.3045109349193714,0.0,0.0,0.0,"{""qwen3-8b-local"": 172}"
all_deterministic_math_tool,local_model,0.35,0.5,172,0.0930232558139534,0.0930232558139534,0.859174095163506,0.7661508393495524,0.1082705546379987,0.0,0.0,0.0,"{""deterministic_math_tool"": 172}"
