query_id,group_id,split,benchmark,domain,state_method,k,assignment_kind
gpqa:test:25,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:26,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:27,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:28,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:29,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:3,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:30,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:31,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:32,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:33,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:34,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:35,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:36,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:37,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:38,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:39,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:4,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:40,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:41,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:42,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:43,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:44,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:45,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:46,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:47,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:48,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:49,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:5,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:50,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:51,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:52,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:53,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:54,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:55,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:56,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:57,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:58,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:59,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:6,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:60,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:61,z01,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:62,z00,train,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:63,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:64,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:65,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:66,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:67,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:68,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:69,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:7,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:70,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:71,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:72,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:73,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:74,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:75,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:76,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:77,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:78,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:79,z00,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:8,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:80,z01,val,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:81,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:83,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:84,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:85,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:86,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:87,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:88,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:89,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:9,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:90,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:91,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:92,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:93,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:94,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:95,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:96,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:97,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:98,z00,test,gpqa,science,relative_kmeans,2,utility_state_label
gpqa:test:99,z01,test,gpqa,science,relative_kmeans,2,utility_state_label
gsm8k:test:0,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:1,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:10,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:11,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:12,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:13,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:14,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:15,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:16,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:17,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:18,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:19,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:2,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:20,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:21,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:22,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:23,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:24,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:25,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:26,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:27,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:28,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:29,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:3,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:30,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:31,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:32,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:33,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:34,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:35,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:36,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:37,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:38,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:39,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:4,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:40,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:41,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:42,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:43,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:44,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:45,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:46,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:47,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:48,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:49,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:5,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:50,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:51,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:52,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:53,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:54,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:55,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:56,z01,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:57,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:58,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:59,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:6,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:60,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:61,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:62,z00,train,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:63,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:64,z01,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:65,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:66,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:67,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:68,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:69,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:7,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:70,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:71,z01,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:72,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:73,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:74,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:75,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:76,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:77,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:78,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:79,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:8,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:80,z00,val,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:81,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:82,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:83,z01,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:84,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:85,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:86,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:87,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:88,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:89,z01,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:9,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:90,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:91,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:92,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:93,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:94,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:95,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:96,z01,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:97,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:98,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
gsm8k:test:99,z00,test,gsm8k,math_easy,relative_kmeans,2,utility_state_label
humaneval:test:1,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:10,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:100,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:11,z00,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:12,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:13,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:14,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:15,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:16,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:17,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:18,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:19,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:2,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:20,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:21,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:22,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:23,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:24,z00,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:25,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:26,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:27,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:28,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:29,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:3,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:30,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:31,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:32,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:33,z00,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:34,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:35,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:36,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:37,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:38,z01,train,humaneval,code,relative_kmeans,2,utility_state_label
humaneval:test:39,z00,train,humaneval,code,relative_kmeans,2,utility_state_label
