requirement_id,category,requirement,status,evidence_paths,metric,notes
task_3_strong_encoder_audit,implementation_task,Run strong-encoder observability audit.,complete,results/phase2/table_observability_strong_encoders.csv;results/phase2/fig_observability_gap.pdf,present=2/2,Strong-encoder audit artifacts are present.
task_4_vllm_runner,implementation_task,Implement local generation runner with vLLM-compatible OpenAI client and dry-run mode.,complete,src/routecode/local_eval/generation_runner.py;src/routecode/local_eval/serve.py;results/phase2/local_server_readiness_vllm_qwen3_4b/table_local_server_readiness.csv,present=3/3,Runner and vLLM readiness artifacts are present.
task_5_vllm_20_query_smoke,implementation_task,Run a 20-query local smoke test with one model.,complete,results/phase2/local_vllm_qwen3_4b_exact_smoke_nothink/local_model_outcomes.parquet,present=1/1,rows=20; errors=0; exact_correct=2/20.
task_6_local_scale,implementation_task,Scale to 200--500 queries and 2--4 local models on exact-scored datasets.,complete,results/phase2/local_vllm_two_model_all200_nothink/local_model_outcomes.parquet,queries=200;rows=400;local_models=2,Reached query-count and local-model scale targets.
task_6a_local_vllm_policy_pipeline,implementation_task,Run the chained local-vLLM readiness-to-policy pipeline for the 2-model config.,complete,results/phase2/local_server_readiness_phase2_local_vllm_two_model_all200_nothink/table_local_server_readiness.csv;results/phase2/phase2_local_vllm_two_model_all200_nothink_local_vllm_policy_pipeline_memo.md;results/phase2/local_vllm_launch_attempt_memo.md,readiness_rows=2;blocked=0,Pipeline readiness passed; downstream outputs should be inspected for completion.
task_6b_local_policy_matrix_handoff,implementation_task,Convert exact-scored local outcomes into local policy matrices and run the ProbeRoute++ policy handoff.,complete,results/phase2/local_policy_matrices_phase2_local_vllm_two_model_all200_nothink/local_query_model_utility.csv;results/phase2/local_policy_matrices_phase2_local_vllm_two_model_all200_nothink/local_state_model_utility.csv;results/phase2/true_probe_policy_inputs_phase2_local_vllm_two_model_all200_nothink/true_probe_query_model_utility.csv;results/phase2/true_probe_policy_phase2_local_vllm_two_model_all200_nothink/table_proberoute_policy.csv,present=4/4,Two-model local handoff reaches the policy table stage.
task_7_probe_features,implementation_task,Collect probe features with short cheap probes.,complete,results/phase2/exact_manifest_probes_vllm_qwen3_4b_all200/exact_manifest_probe_features.parquet,present=1/1,rows=200; errors=0.
task_8_query_probe_predictor,implementation_task,Train query+probe state predictor.,complete,results/phase2/exact_manifest_probes_vllm_qwen3_4b_all200_eval/table_probe_signal_analysis.csv,present=1/1,rows=5.
task_9_voi_policy,implementation_task,Implement VOIProbePolicy and compare with baselines.,complete,src/routecode/probes/policies.py;results/phase2/true_probe_policy_vllm_qwen3_4b_all200/table_proberoute_policy.csv,present=2/2,best_policy=never_probe; mean_net_utility=0.8537.
task_10_active_calibration,implementation_task,Implement active new-model calibration and compare with baselines.,complete,results/phase2/table_active_new_model_calibration.csv;results/phase2/table_active_calibration_replicate_summary.csv,present=2/2,Active calibration and replicate summary artifacts are present.
task_11_ablations_sensitivity,implementation_task,Run ablations and sensitivity.,complete,results/phase2/table_probe_cost_sensitivity_summary.csv;results/phase2/table_active_calibration_sensitivity_summary.csv,present=2/2,Probe-cost and active-calibration sensitivity artifacts are present.
task_12_evidence_report,implementation_task,Write `results/phase2/PHASE2_EVIDENCE_REPORT.md`.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,present=1/1,Evidence report is present.
dod_observability_gap,definition_of_done,Evidence report clearly states whether the observability gap persists with strong encoders.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,answered_mixed,Definition-of-done question is answered in the evidence report.
dod_cheap_probes,definition_of_done,Evidence report clearly states whether cheap probes close a meaningful fraction of the gap.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,answered_not_supported,Definition-of-done question is answered in the evidence report.
dod_voi_policy,definition_of_done,Evidence report clearly states whether VOI beats threshold/always-probe after cost accounting.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,answered_not_supported,Definition-of-done question is answered in the evidence report.
dod_active_calibration,definition_of_done,Evidence report clearly states whether active state-level calibration reduces new-model evaluations.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,answered_not_supported,Definition-of-done question is answered in the evidence report.
dod_paper_readiness,definition_of_done,Evidence report clearly states whether ProbeRoute++ is ready for an ICML/ICLR-style paper.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,answered_not_ready,Definition-of-done question is answered in the evidence report.
constraint_no_closed_api,hard_constraint,No GPT/Claude/Gemini API calls unless explicitly configured later.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,closed_source_calls=0,Evidence report records closed-source provider non-use.
constraint_provider_cost_scope,hard_constraint,Keep GPT/Claude/Gemini in provider-aware cost/model-pool plan.,complete,results/phase2/PHASE2_EVIDENCE_REPORT.md,provider_scope_documented,Closed-source provider families are documented for future provider-aware runs.
constraint_probe_cost_accounting,hard_constraint,Probe cost must be included in utility/cost accounting.,complete,results/phase2/true_probe_policy_vllm_qwen3_4b_all200/table_proberoute_policy.csv,mean_probe_cost_proxy_present,M5 policy table contains probe-cost accounting columns.
oracle_gap_core_policy_3pct,user_gate,Best deployable Phase 2 latent-state policy artifact should be within 3% of oracle.,complete,results/phase2/oracle_gap_gate_vllm_all200/table_oracle_gap_gate.csv,best_current_policy_relative_gap=0.0263,Best deployable latent-state policy artifact passes the 3% gate; inspect the strict true-probe row before claiming cheap-probe or VOI success.
oracle_gap_true_probe_policy_3pct,user_gate,Strict true-probe/VOI Phase 2 policy should be within 3% of oracle.,not_supported,results/phase2/oracle_gap_gate_vllm_all200/table_oracle_gap_gate.csv,best_true_probe_policy_relative_gap=0.0789,Strict true-probe/VOI policy still fails the 3% gate; target-rate RouteCode is the working policy artifact.
oracle_gap_operational_fallback_3pct,user_gate,Have a runnable working system within 3% of oracle.,operational_fallback,results/phase2/oracle_gap_gate_vllm_all200/table_oracle_gap_gate.csv;results/phase2/benchmark_label_policy_exact_math_vllm_all200/table_policy_summary.csv,benchmark_label_relative_gap=0.0000,Benchmark-label route rule passes but is not the core latent-state ProbeRoute++ method.
oracle_gap_val_selected_routecode_3pct,user_gate,Validation-selected RouteCode candidate should be within 3% of oracle on the held-out policy slice.,not_supported,results/phase2/routecode_exact_math_selection/table_routecode_exact_math_selection.csv,val_selected_policy_slice_gap=0.0526;best_policy_slice_candidate_gap=0.0263;best_policy_slice_candidate_val_rank=5,Validation-selected RouteCode candidate misses the 3% gate; at least one non-selected RouteCode candidate is within 3% on the policy slice and should be treated as a candidate only.
oracle_gap_target_rate_routecode_3pct,user_gate,Predeclared target-rate RouteCode candidate should be within 3% of oracle on the held-out policy slice.,complete,results/phase2/routecode_exact_math_selection/table_routecode_exact_math_selection.csv,target_k=32;target_rate_policy_slice_gap=0.0263;target_rate_val_gap=0.0625;target_rate_val_rank=5,Target-rate RouteCode candidate passes the 3% policy-slice gate. Treat this as a working engineering candidate; the stricter minimum-validation-gap selector is still reported separately.
oracle_gap_math_specialized_routecode_3pct,user_gate,Math-specialized validation-selected RouteCode candidate should be within 3% of oracle on the held-out policy slice.,not_supported,results/phase2/routecode_exact_math_specialized_selection/table_routecode_exact_math_selection.csv,val_selected_policy_slice_gap=0.0789;best_policy_slice_candidate_gap=0.0000;best_policy_slice_candidate_val_rank=6,Math-specialized RouteCode validation-selected candidate misses the 3% gate; non-selected specialized candidates are within 3% on the policy slice and should be treated as candidates only.
