k,split,feature,mean_value,eta_squared,n_queries,n_states
24,all,local_unique_answer_count,2.9226044226044228,0.5392471840732949,814,24
24,all,q14_q32_agree,0.5085995085995086,0.536072782375219,814,24
24,all,medium_unique_answer_count,1.4914004914004915,0.5360727823752189,814,24
24,all,small_unique_answer_count,1.520884520884521,0.4913874156975014,814,24
24,all,q4_q8_agree,0.47911547911547914,0.4913874156975012,814,24
24,all,q32_sc_agree,0.5073710073710074,0.29526938177938017,814,24
24,all,sc_vote_margin,0.6416871416871416,0.2893158527443894,814,24
24,all,sc_vote_entropy,0.5281730551990813,0.28544888402366936,814,24
24,all,sc_vote_frac,0.7919737919737919,0.2803692308845805,814,24
24,all,sc_all_samples_agree,0.5491400491400491,0.2714554082378037,814,24
24,all,local_valid_count,5.11056511056511,0.2607787214071476,814,24
24,all,local_missing_count,0.8894348894348895,0.26077872140714736,814,24
24,all,q4_lp_logprob_mean,-0.027432563796606826,0.23956993833525658,814,24
24,all,q4_lp_logprob_min,-0.23608422626143993,0.21310325790945184,814,24
24,all,q4_lp_logprob_margin_mean,4.591364882704057,0.12579460956723504,814,24
24,all,q4_lp_logprob_first_token_margin,2.470055274010177,0.10128388865200988,814,24
24,all,q4_lp_logprob_margin_min,0.18765356264555375,0.06054912531462834,814,24
24,all,small_valid_count,2.0,0.0,814,24
24,all,medium_valid_count,2.0,0.0,814,24
24,train,local_all_agree,0.1565040650406504,0.7897611881684651,492,24
24,train,q8_q14_agree,0.2682926829268293,0.7804192176491381,492,24
24,train,small_medium_agree,0.2886178861788618,0.7777367820109216,492,24
24,train,small_medium_disagree,0.7113821138211383,0.7777367820109216,492,24
24,train,q4_q14_agree,0.2886178861788618,0.7777367820109216,492,24
24,train,local_vote_margin,0.38042005420054203,0.671596616718742,492,24
24,train,local_vote_entropy,1.2299947172957193,0.6184512031705828,492,24
24,train,local_vote_frac,0.5947831978319783,0.6142713907081535,492,24
24,train,medium_unique_answer_count,1.483739837398374,0.5722152533634007,492,24
24,train,q14_q32_agree,0.516260162601626,0.5722152533634007,492,24
24,train,local_unique_answer_count,2.8434959349593494,0.5383578408786288,492,24
24,train,small_unique_answer_count,1.5060975609756098,0.5231209747905795,492,24
24,train,q4_q8_agree,0.49390243902439024,0.5231209747905795,492,24
24,train,q32_sc_agree,0.5426829268292683,0.29330160446138537,492,24
24,train,sc_vote_margin,0.6436314363143631,0.29040202229380574,492,24
24,train,sc_vote_entropy,0.5246714772891922,0.283528957765798,492,24
24,train,sc_all_samples_agree,0.5508130081300813,0.2829029855306482,492,24
24,train,sc_vote_frac,0.7933604336043361,0.276476455876528,492,24
24,train,q4_lp_logprob_mean,-0.0269803622911425,0.25334825313086623,492,24
24,train,q4_lp_logprob_min,-0.22786465991947163,0.24481489452861524,492,24
24,train,local_valid_count,5.095528455284553,0.23314769784381564,492,24
24,train,local_missing_count,0.9044715447154471,0.23314769784381517,492,24
24,train,q4_lp_logprob_margin_mean,4.602177657615234,0.14620257779824786,492,24
24,train,q4_lp_logprob_first_token_margin,2.5058434933645324,0.11444723674553153,492,24
24,train,q4_lp_logprob_margin_min,0.20248983674152657,0.09120181712953042,492,24
24,train,small_valid_count,2.0,0.0,492,24
24,train,medium_valid_count,2.0,0.0,492,24
